sIP,sport,dIP,dport,,timestamp,Cd/Cp,Sd/Sp,C0/Sd,S0/Cd,Cd/Pd,Sd/Pd,Cf/Cd,Sf/Sd,Ca1/Cd,Ca2/Cd,Ca4/Cd,Sa2/Sd,Sa4/Sd
219.236.166.193,52862,202.198.44.196,443,,0,1,0,0,0,1,0,0,0,0,0,1,0,0
150.57.248.121,443,103.3.98.172,21525,,1,0,1,0,0,0,1,0,0.3366,0,0,0,0,1
103.3.98.172,21525,150.57.248.121,443,,1,1,0,0,0,1,0,0.3366,0,0,0,1,0,0
150.57.248.121,443,101.30.224.224,50484,,0,0,1,0,0,0,1,0,0.4752,0,0,0,0,1
101.30.224.224,50484,150.57.248.121,443,,0,1,0,0,0,1,0,0.4752,0,0,0,1,0,0
202.198.44.179,23536,104.120.156.140,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.120.156.140,80,202.198.44.179,23536,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.248.121,443,101.30.224.224,50481,,0,0,1,0,0,0,1,0,0.4059,0,0,0,0,1
101.30.224.224,50481,150.57.248.121,443,,0,1,0,0,0,1,0,0.4059,0,0,0,1,0,0
150.57.248.121,443,101.30.224.224,50479,,0,0,1,0,0,0,1,0,0.3762,0,0,0,0.0099,0.9901
101.30.224.224,50479,150.57.248.121,443,,0,1,0,0,0,1,0,0.3762,0,0,0.0099,0.9901,0,0
150.57.172.44,8080,114.95.167.124,55302,,1,0,1,0.4059,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55302,150.57.172.44,8080,,1,1,0,0,0.4059,1,0,0,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55280,,1,0,1,0.3564,0,0,1,0,0.0198,0,0,0,0,1
114.95.167.124,55280,150.57.172.44,8080,,1,1,0,0,0.3564,1,0,0.0198,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55316,,1,0,1,0.2772,0,0,1,0,0.0297,0,0,0,0,1
114.95.167.124,55316,150.57.172.44,8080,,1,1,0,0,0.2772,1,0,0.0297,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55317,,1,0,1,0.4752,0,0,1,0,0.0099,0,0,0,0,1
114.95.167.124,55317,150.57.172.44,8080,,1,1,0,0,0.4752,1,0,0.0099,0,0,0,1,0,0
150.57.182.64,56411,155.153.54.212,80,,0,0,0.0099,0,0,0,1,0,1,0,0,0,1,0
155.153.54.212,80,150.57.182.64,56411,,0,0.0099,0,0,0,1,0,1,0,0,1,0,0,0
150.57.248.121,80,36.236.117.116,59525,,0,0,1,0,0,0,1,0,0.3861,0,0,0,0.0198,0.9604
36.236.117.116,59525,150.57.248.121,80,,0,1,0,0,0,1,0,0.3861,0,0,0.0198,0.9604,0,0
150.57.172.44,8080,114.95.167.124,55317,,1,0,1,0.3663,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55317,150.57.172.44,8080,,1,1,0,0,0.3663,1,0,0,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55316,,1,0,1,0.4554,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55316,150.57.172.44,8080,,1,1,0,0,0.4554,1,0,0,0,0,0,1,0,0
150.57.248.121,443,101.30.224.224,50477,,0,0,1,0,0,0,1,0,0.3762,0,0,0,0,1
101.30.224.224,50477,150.57.248.121,443,,0,1,0,0,0,1,0,0.3762,0,0,0,1,0,0
